Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
s349_7_4,216,1051564441.6,200.66636168956757,1056440320,1047527424,0.008436724565756825
s382_15_7,350,7690885529.6,252.18953003883362,7715422208,7662993408,0.00679532481652623
s382_3_2,263,2289880268.8,205.08278336524964,2294808576,2285371392,0.00411240575736806
s382_7_4,281,2979948134.4,223.5977277994156,2990538752,2968518656,0.007363253856942496
s420_15_7,366,7317173043.2,271.110288310051,7331643392,7304380416,0.0037185354691075517
s420_new_15_7,351,6181774950.4,275.97083621025087,6201278464,6155141120,0.0074399729455529254
s420_new_3_2,294,3031642931.2,276.9450925827026,3038773248,3024093184,0.004830917874396135
s420_new_7_4,312,3862639411.2,271.99914705753326,3873439744,3851419648,0.00568489442338928
s444_15_7,377,9753853952.0,239.83061015605927,9781116928,9718202368,0.006432246998284734
s444_3_2,290,3327446220.8,247.27614636421202,3340763136,3315597312,0.007532956685499058
s444_7_4,308,4595069747.2,214.05135276317597,4608491520,4578082816,0.006598407281001138
s510_15_7,340,4129082572.8,342.1068156719208,4143972352,4108320768,0.00860323886639676
s510_3_2,298,2607598796.8,296.0505503177643,2619342848,2595225600,0.009207365892714172
s510_7_4,316,3210844569.6,331.19132602214813,3221225472,3198156800,0.007161458333333333
s526_15_7,452,21955503718.4,262.5790534973145,22036873216,21877489664,0.00723258469737343
s526_3_2,365,9001815244.8,227.49270033836365,9019850752,8980004864,0.004417577307602883
s526_7_4,383,11177820160.0,239.23496961593628,11223957504,11140071424,0.007473841554559043
s526a_15_7,453,22113209548.8,251.59752044677734,22162702336,22036873216,0.005677517032551098
s526a_7_4,384,11348108902.4,218.0045625448227,11387535360,11328815104,0.005156537753222836
s641_3_2,489,29896160051.2,258.8376871109009,29972496384,29829890048,0.004757906521130702
sa1100mm,1222,1153145031884.8,404.807266163826,1156419944448,1149172187136,0.006267409470752089
sam7ex256,1332,1608143129804.8,466.2110065460205,1612760219648,1604707155968,0.004993342210386152
se7751,1295,1466731331584.0,455.1901773929596,1470489427968,1462973235200,0.00511135450894487
sh4_202_md,1258,1317320156774.4,441.59163546562195,1320165572608,1314259992576,0.004473363155754371
sh7708,1253,1275605286912.0,408.7799510717392,1282584608768,1271310319616,0.008790288823775638
skmb91302,1217,1147991071129.6,363.9599592208862,1152393412608,1145414090752,0.00605637083624505
sleb,1188,1041932222464.0,404.8797031164169,1044482359296,1037503037440,0.006682086867129272
smdk2410,1265,1327252268646.4,404.62284419536593,1333050474496,1320702443520,0.009262988320579944
snds,1218,1150809643417.6,389.8250408887863,1153735589888,1148098445312,0.004885993485342019
sparc_erc32,1168,970957887897.6,401.91722586154935,973346963456,968246689792,0.005239933811362383
sparc_leon,1168,970769983078.4,415.252568936348,973883834368,968783560704,0.005237045203969129
sparclite_sim,1168,970233112166.4,371.1677618265152,972810092544,968246689792,0.004690949227373068
stb,1252,1288060692070.4,430.755043888092,1293322027008,1284732092416,0.006641760066417601
stdeval1,1190,1049179979776.0,404.98708226680753,1052266987520,1046629842944,0.005357142857142857
stm3210e_eval,1269,1368376580505.6,404.14367299079896,1374926405632,1363115245568,0.008590394377196407
tire-1,352,2929616486.4,431.63781931400297,2937061376,2919235584,0.006069260978222063
ts1000,1297,1520955293696.0,402.8788862705231,1526860873728,1517734068224,0.005977496483825597
ts6,1240,1268411216691.2,414.9544016122818,1271310319616,1263794126848,0.0059121621621621625
tutorial1.sk_1_1,67,811724.8,108.78112761974334,814336,809472,0.005972964476579692
tx39_sim,1179,1000217352601.6,401.4764038085938,1005022347264,996163977216,0.008814102564102564
uClinux,1850,1510701059276.8,379.6705232143402,1516123455488,1505386037248,0.007082152974504249
uClinux-config,11254,2880610513610342.5,2230.3592505693437,2899412162445312,2865327301984256,0.011755783086841108
uE250,1249,1270666074521.6,410.63462498188017,1276142157824,1267015352320,0.00715187210769878
vads,1240,1269162835968.0,387.4258210420609,1275068416000,1262720385024,0.00968421052631579
viper,1301,1535987679232.0,449.7386455774307,1542430130176,1529545228288,0.008353637312913331
vrc4373,1247,1263418317209.6,395.8040365219116,1268089094144,1260036030464,0.006350550381033023
vrc4375,1258,1335627454873.6,382.95847795009615,1342714150912,1329292378112,0.009996001599360257
