Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
baital_s420_new_7_4,312,161275.3,3.1081848621368406,162105,160713,0.008587026926991764
baital_s444_15_7,377,258310.5,1.6017213344573975,259039,257294,0.006736437370434568
baital_s444_3_2,290,152914.6,1.4987401008605956,153240,152502,0.004815974941268598
baital_s444_7_4,308,177900.6,1.1973895311355591,178132,177374,0.004255271371791705
baital_s510_15_7,340,185132.7,3.1866955757141113,186061,184095,0.010566427139486512
baital_s510_3_2,298,146144.7,2.795019435882568,147231,145432,0.012218894118765748
baital_s510_7_4,316,162898.4,2.8953922271728514,163720,162225,0.009131443928658686
baital_s526_15_7,452,363937.5,3.5568001747131346,366212,363081,0.008549692527825413
baital_s526_3_2,365,249135.5,1.3688960790634155,249452,248567,0.003547776726584674
baital_s526_7_4,383,274985.7,1.24553542137146,275425,274434,0.0035980757011890713
baital_s526a_15_7,453,351471.6,4.169073390960693,353289,350237,0.008638819776443648
baital_s526a_7_4,384,277644.7,1.1613736867904663,278645,276751,0.006797179206517253
baital_s641_3_2,489,441016.7,1.535519790649414,441820,439071,0.006221990856004707
baital_sa1100mm,1222,2700440.5,2.6533769369125366,2708412,2692907,0.005724756794756485
baital_sam7ex256,1332,3183395.4,2.779569721221924,3193548,3172722,0.006521273517730124
baital_se7751,1295,3022464.8,2.739003300666809,3039916,3013039,0.008841362721864683
baital_sh4_202_md,1258,2881428.8,2.6866625785827636,2890770,2872195,0.006425623622771787
baital_sh7708,1253,2841479.4,2.725609564781189,2859500,2832744,0.00935688057352684
baital_skmb91302,1217,2707930.5,2.5950884342193605,2716372,2694976,0.007876682575140665
baital_sleb,1188,2568702.2,2.5405972719192507,2578370,2557983,0.007906933450203036
baital_smdk2410,1265,2903484.1,2.6980075359344484,2912026,2892341,0.006759898434972765
baital_snds,1218,2703644.7,2.494770812988281,2715314,2695893,0.007152395634538031
baital_sparc_erc32,1168,2481089.3,2.501766014099121,2486093,2470851,0.00613090499832468
baital_sparc_leon,1168,2471497.7,2.6267035484313963,2480858,2456995,0.009618849607676054
