Benchmark,twise,seed,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Time, Strategy 3 Time, Strategy 1 Coverage, Strategy 3 Coverage
am31_sim.cnf,2,10,11597.3029384613,1851.35444927216,578.483963727951,597.934227466583,0.918931033195887,0.920805730969356
asb.cnf,2,1,13328.1785202026,2317.78530979156,1276.35214710236,1312.29885149002,0.921622311620541,0.921861966119823
asb.cnf,2,2,13328.1785202026,2317.78530979156,1498.88016295433,1448.87553930283,0.922365809481073,0.945493179802744
asb.cnf,2,3,13328.1785202026,2317.78530979156,1294.84425258636,1179.66314029694,0.923071261300919,0.920573734293563
asb.cnf,2,4,13328.1785202026,2317.78530979156,1309.6793859005,1204.4493534565,0.921254296180249,0.92182818692482
asb.cnf,2,5,13328.1785202026,2317.78530979156,1270.79866909981,1244.1019282341,0.923549148017588,0.936102563592001
asb.cnf,2,6,13328.1785202026,2317.78530979156,1312.16736340523,1302.60138368607,0.921343899939624,0.923521769091112
asb.cnf,2,7,13328.1785202026,2317.78530979156,1268.87565588951,1246.43199634552,0.920616758320882,0.924288379032436
asb.cnf,2,8,13328.1785202026,2317.78530979156,1279.88595914841,1309.95200872421,0.922581285188143,0.922636754182042
asb.cnf,2,9,13328.1785202026,2317.78530979156,1292.50153517723,1271.09054398537,0.940366920283233,0.941937830636094
asb.cnf,2,10,13328.1785202026,2317.78530979156,1387.00084590912,1339.54205417633,0.919468976831739,0.918674632393466
asb2305.cnf,2,1,13460.2571260929,2395.41081476212,774.792557001114,777.831854104996,0.922468819046554,0.924667758927545
asb2305.cnf,2,2,13460.2571260929,2395.41081476212,826.470041036606,872.334686279297,0.923669040030693,0.926605765913654
asb2305.cnf,2,3,13460.2571260929,2395.41081476212,819.810944795609,734.191177368164,0.92453694081852,0.937609256858192
asb2305.cnf,2,4,13460.2571260929,2395.41081476212,848.62786769867,733.789584636688,0.923855772331478,0.926156694071654
asb2305.cnf,2,5,13460.2571260929,2395.41081476212,793.056960582733,827.568144083023,0.923298388721791,0.942283894286308
asb2305.cnf,2,6,13460.2571260929,2395.41081476212,775.01108622551,795.498826980591,0.923660951814275,0.923494264223744
asb2305.cnf,2,7,13460.2571260929,2395.41081476212,779.375377655029,758.110178232193,0.924707848348052,0.925444931026855
asb2305.cnf,2,8,13460.2571260929,2395.41081476212,776.671429157257,760.779258966446,0.91920891616845,0.918412402682053
asb2305.cnf,2,9,13460.2571260929,2395.41081476212,784.569747924805,779.258223772049,0.922417828116961,0.922568690936239
asb2305.cnf,2,10,13460.2571260929,2395.41081476212,774.943734645844,811.269320726395,0.920489315993604,0.923349379651384
assabet.cnf,2,1,15114.5192968845,2504.81690573692,886.467930793762,908.285600662232,0.920122936470915,0.921828232585786
assabet.cnf,2,2,15114.5192968845,2504.81690573692,954.307158946991,924.946896791458,0.91670043574875,0.925339876879798
assabet.cnf,2,3,15114.5192968845,2504.81690573692,927.954300403595,825.961703062058,0.92090039090477,0.922684283069628
assabet.cnf,2,4,15114.5192968845,2504.81690573692,1043.8791706562,840.515216350556,0.918614640844972,0.923840767805153
assabet.cnf,2,5,15114.5192968845,2504.81690573692,912.928462028503,951.882038831711,0.919263823803307,0.920255971343404
assabet.cnf,2,6,15114.5192968845,2504.81690573692,909.737371921539,897.598924875259,0.916374143056379,0.915740611259514
assabet.cnf,2,7,15114.5192968845,2504.81690573692,855.012246131897,813.618550777435,0.919267566472354,0.920350899040141
assabet.cnf,2,8,15114.5192968845,2504.81690573692,894.62335562706,920.904501914978,0.917307768862286,0.919866733762515
assabet.cnf,2,9,15114.5192968845,2504.81690573692,929.225592374802,919.316754341125,0.919642173619695,0.919100847578442
assabet.cnf,2,10,15114.5192968845,2504.81690573692,888.034188747406,913.230431318283,0.92109296823937,0.920840508200018
at91sam7sek.cnf,2,1,15944.2437450886,2602.76986074448,1112.98565292358,1076.30264735222,0.918644994742616,0.920641172966304
at91sam7sek.cnf,2,2,15944.2437450886,2602.76986074448,1074.90549826622,1172.39342021942,0.921439383828092,0.923565775895464
at91sam7sek.cnf,2,3,15944.2437450886,2602.76986074448,1316.4177005291,1033.95193386078,0.921004795124794,0.923672876781895
at91sam7sek.cnf,2,4,15944.2437450886,2602.76986074448,1257.68858933449,1040.6165137291,0.91975474222542,0.92160540647879
at91sam7sek.cnf,2,5,15944.2437450886,2602.76986074448,1100.40814995766,1162.80969023705,0.922048784616536,0.92342286620202
at91sam7sek.cnf,2,6,15944.2437450886,2602.76986074448,1119.3765668869,1144.30720186234,0.918814598274015,0.918157343898016
at91sam7sek.cnf,2,7,15944.2437450886,2602.76986074448,1057.92677307129,1099.03196239471,0.921898062092471,0.925191821268478
at91sam7sek.cnf,2,8,15944.2437450886,2602.76986074448,1136.62737011909,1142.05679917336,0.920165566902245,0.92339421915641
at91sam7sek.cnf,2,9,15944.2437450886,2602.76986074448,1143.21534395218,1139.49394273758,0.920135292183588,0.919365077298193
at91sam7sek.cnf,2,10,15944.2437450886,2602.76986074448,1098.89162564278,1163.21929121017,0.917532642982939,0.921770126991051
at91sam7xek.cnf,2,1,16724.563605547,2796.69771933556,1365.29550218582,1354.0524866581,0.920760200840607,0.92013801265261
at91sam7xek.cnf,2,2,16724.563605547,2796.69771933556,1328.22636222839,1415.13165330887,0.92327039764103,0.921740100619205
