Benchmark,twise,seed, ApproxMaxCov Time, Strategy 3 Time, Strategy 3 Combinations
aki3068net.cnf,5,10,14035.118304729462,1380.56152176857,430465653990865
am31_sim.cnf,5,1,13493.23849105835,1312.3432710170746,351048457561827
am31_sim.cnf,5,2,13493.23849105835,1314.0120153427124,353848193677244
am31_sim.cnf,5,3,13493.23849105835,1308.074948310852,349402260790102
am31_sim.cnf,5,4,13493.23849105835,1232.9270069599152,359627906430530
am31_sim.cnf,5,5,13493.23849105835,1226.8156044483185,354296792310902
am31_sim.cnf,5,6,13493.23849105835,1289.6939735412598,356948330663414
am31_sim.cnf,5,7,13493.23849105835,1303.1367163658142,332335485986394
am31_sim.cnf,5,8,13493.23849105835,1334.4311909675598,338463663749753
am31_sim.cnf,5,9,13493.23849105835,1318.0035717487335,337690632175682
am31_sim.cnf,5,10,13493.23849105835,1354.4827270507812,355762748560176
asb.cnf,5,1,14661.20959186554,2086.739998817444,441790133819718
asb.cnf,5,2,14661.20959186554,2024.8163669109344,465331723784065
asb.cnf,5,3,14661.20959186554,2092.138585090637,447216311954998
asb.cnf,5,4,14661.20959186554,2059.777004957199,469068819231320
asb.cnf,5,5,14661.20959186554,1932.8542292118073,457920873490356
asb.cnf,5,6,14661.20959186554,2037.227284193039,472272797955168
asb.cnf,5,7,14661.20959186554,2086.12619805336,457810027438954
asb.cnf,5,8,14661.20959186554,2077.292901277542,442761356365332
asb.cnf,5,9,14661.20959186554,2106.6170794963837,456110387984129
asb.cnf,5,10,14661.20959186554,2182.5759720802307,459166571972774
asb2305.cnf,5,1,15175.80555176735,1634.8596196174622,453198363199880
asb2305.cnf,5,2,15175.80555176735,1564.1025695800781,468480107369251
asb2305.cnf,5,3,15175.80555176735,1594.8419723510742,464401664270239
asb2305.cnf,5,4,15175.80555176735,1626.4809122085571,479964870683250
asb2305.cnf,5,5,15175.80555176735,1515.5819053649902,481333549828792
asb2305.cnf,5,6,15175.80555176735,1510.5756781101227,478574116067619
asb2305.cnf,5,7,15175.80555176735,1692.5421390533447,452337419866394
asb2305.cnf,5,8,15175.80555176735,1571.0999829769135,472133597669043
asb2305.cnf,5,9,15175.80555176735,1567.087863445282,470671097775622
asb2305.cnf,5,10,15175.80555176735,1877.925903558731,471592748651854
assabet.cnf,5,1,16427.455956220627,1760.1504068374634,517130806167401
assabet.cnf,5,2,16427.455956220627,2047.2320039272308,506555919118874
assabet.cnf,5,3,16427.455956220627,1699.5060567855835,498933010878839
assabet.cnf,5,4,16427.455956220627,1789.8426501750946,513097649935223
assabet.cnf,5,5,16427.455956220627,1653.1685137748718,531259001040963
assabet.cnf,5,6,16427.455956220627,1701.2646803855896,502844686501614
assabet.cnf,5,7,16427.455956220627,1799.414253950119,493593938095580
assabet.cnf,5,8,16427.455956220627,1725.2690887451172,517726061153475
assabet.cnf,5,9,16427.455956220627,1722.1326866149902,519220272649131
assabet.cnf,5,10,16427.455956220627,2102.1247339248657,487914719605992
at91sam7sek.cnf,5,1,17337.121243476868,1985.9128832817078,556539559613133
at91sam7sek.cnf,5,2,17337.121243476868,1775.8390872478485,558158241050783
at91sam7sek.cnf,5,3,17337.121243476868,1974.6193089485168,575840799034221
at91sam7sek.cnf,5,4,17337.121243476868,1890.3553402423859,579242079017130
at91sam7sek.cnf,5,5,17337.121243476868,1880.269942522049,549279397721904
at91sam7sek.cnf,5,6,17337.121243476868,1930.417486667633,573484490612326
at91sam7sek.cnf,5,7,17337.121243476868,1961.2397000789642,585744124285663
at91sam7sek.cnf,5,8,17337.121243476868,1790.5153098106384,556102447326173
at91sam7sek.cnf,5,9,17337.121243476868,2069.132155418396,586215385970042
at91sam7sek.cnf,5,10,17337.121243476868,2150.611467599869,568457699312283
at91sam7xek.cnf,5,1,16841.65439939499,2213.986969470978,651923922678363
at91sam7xek.cnf,5,2,16841.65439939499,2215.302657842636,632337040981472
at91sam7xek.cnf,5,3,16841.65439939499,2274.181057691574,645464577838490
at91sam7xek.cnf,5,4,16841.65439939499,2303.8358244895935,650775263203374
at91sam7xek.cnf,5,5,16841.65439939499,2132.580132007599,625519672409135
at91sam7xek.cnf,5,6,16841.65439939499,2225.2750878334045,606096884922956
at91sam7xek.cnf,5,7,16841.65439939499,2271.133460998535,629711533610069
at91sam7xek.cnf,5,8,16841.65439939499,2225.9141409397125,608125686073586
at91sam7xek.cnf,5,9,16841.65439939499,2191.4140441417694,668049908294768
at91sam7xek.cnf,5,10,16841.65439939499,2159.020614862442,613272277227758
atlas_mips32_4kc.cnf,5,1,14824.384526491165,1479.3818244934082,446445535015452
atlas_mips32_4kc.cnf,5,2,14824.384526491165,1406.4687411785126,449116186343489
atlas_mips32_4kc.cnf,5,3,14824.384526491165,1450.9336423873901,452541371132235
atlas_mips32_4kc.cnf,5,4,14824.384526491165,1425.4026832580566,442097039544523
atlas_mips32_4kc.cnf,5,5,14824.384526491165,1423.6194064617157,417415852921848
atlas_mips32_4kc.cnf,5,6,14824.384526491165,1453.203785419464,431131484184610
atlas_mips32_4kc.cnf,5,7,14824.384526491165,1756.679883480072,451191153360440
atlas_mips32_4kc.cnf,5,8,14824.384526491165,1480.4564216136932,447507838703556
atlas_mips32_4kc.cnf,5,9,14824.384526491165,1692.7162356376648,436343721906615
atlas_mips32_4kc.cnf,5,10,14824.384526491165,1587.2569880485535,452188924581509
atlas_mips64_5kc.cnf,5,1,14371.545819282532,2267.2105078697205,429728850560389
atlas_mips64_5kc.cnf,5,2,14371.545819282532,2196.7560262680054,412435143394820
atlas_mips64_5kc.cnf,5,3,14371.545819282532,2151.630064725876,431754326580896
atlas_mips64_5kc.cnf,5,4,14371.545819282532,2106.6363382339478,442108367095251
atlas_mips64_5kc.cnf,5,5,14371.545819282532,2142.166690349579,438409462076849
atlas_mips64_5kc.cnf,5,6,14371.545819282532,2234.6874883174896,430664427579385
atlas_mips64_5kc.cnf,5,7,14371.545819282532,2138.9796557426453,443357410641231
atlas_mips64_5kc.cnf,5,8,14371.545819282532,2214.9655468463898,407868177224771
atlas_mips64_5kc.cnf,5,9,14371.545819282532,2140.056233882904,431305828319212
atlas_mips64_5kc.cnf,5,10,14371.545819282532,2342.932512521744,402081102880464
axtls.cnf,5,1,123.63878130912781,41.032679319381714,1153892100
axtls.cnf,5,2,123.63878130912781,41.87241864204407,1144418417
axtls.cnf,5,3,123.63878130912781,42.421427488327026,1161356966
axtls.cnf,5,4,123.63878130912781,40.056936264038086,1146551236
axtls.cnf,5,5,123.63878130912781,40.4223108291626,1144691220
axtls.cnf,5,6,123.63878130912781,44.9399209022522,1150556471
axtls.cnf,5,7,123.63878130912781,41.1346549987793,1153197694
axtls.cnf,5,8,123.63878130912781,44.102006912231445,1150779673
axtls.cnf,5,9,123.63878130912781,44.086766719818115,1146687637
axtls.cnf,5,10,123.63878130912781,39.42805576324463,1151250877
brutus.cnf,5,1,14682.00177025795,1601.8051381111145,439723491967066
brutus.cnf,5,2,14682.00177025795,1535.2937746047974,437808125754073
brutus.cnf,5,3,14682.00177025795,1586.3261103630066,432538335115150
brutus.cnf,5,4,14682.00177025795,1680.0455067157745,419348657198691
brutus.cnf,5,5,14682.00177025795,1806.1947734355927,428890018518972
brutus.cnf,5,6,14682.00177025795,1569.3344480991364,444456169329330
brutus.cnf,5,7,14682.00177025795,1558.2866642475128,435553263413380
brutus.cnf,5,8,14682.00177025795,1625.6285297870636,441780737158799
brutus.cnf,5,9,14682.00177025795,1578.183270931244,435436719966557
brutus.cnf,5,10,14682.00177025795,1494.2002506256104,451094078691819
buildroot.cnf,5,1,3457.762708902359,184.45616936683655,13745501417210
buildroot.cnf,5,2,3457.762708902359,173.8894817829132,13707487178705
buildroot.cnf,5,3,3457.762708902359,180.9191484451294,13731232767463
buildroot.cnf,5,4,3457.762708902359,186.6876037120819,13721542863531
buildroot.cnf,5,5,3457.762708902359,144.2763168811798,13734959653591
buildroot.cnf,5,6,3457.762708902359,171.51332426071167,13713024266667
buildroot.cnf,5,7,3457.762708902359,193.22662615776062,13728570705943
buildroot.cnf,5,8,3457.762708902359,181.07582783699036,13738260609876
buildroot.cnf,5,9,3457.762708902359,189.0788540840149,13714727986039
buildroot.cnf,5,10,3457.762708902359,159.6715636253357,13717070600177
busybox_1_28_0.cnf,5,1,8642.591658830643,317.1117706298828,245111143685801
busybox_1_28_0.cnf,5,2,8642.591658830643,294.72274708747864,244948768324316
busybox_1_28_0.cnf,5,3,8642.591658830643,315.373277425766,245077930543679
busybox_1_28_0.cnf,5,4,8642.591658830643,315.79445457458496,245175724795483
busybox_1_28_0.cnf,5,5,8642.591658830643,292.8726637363434,244671992139966
busybox_1_28_0.cnf,5,6,8642.591658830643,309.5389504432678,244932161753255
busybox_1_28_0.cnf,5,7,8642.591658830643,325.252313375473,244743953947897
busybox_1_28_0.cnf,5,8,8642.591658830643,339.081374168396,245207092763043
busybox_1_28_0.cnf,5,9,8642.591658830643,322.84676456451416,245242151079727
busybox_1_28_0.cnf,5,10,8642.591658830643,319.03466510772705,245087156416491
calm16_ceb.cnf,5,1,14374.990822553635,2372.4627380371094,368628399044728
calm16_ceb.cnf,5,2,14374.990822553635,2421.676864385605,354464891240698
calm16_ceb.cnf,5,3,14374.990822553635,2400.443749666214,350009002774402
calm16_ceb.cnf,5,4,14374.990822553635,2448.8672173023224,361411932235593
calm16_ceb.cnf,5,5,14374.990822553635,2306.572074651718,362008814039450
calm16_ceb.cnf,5,6,14374.990822553635,2502.9833352565765,355327053846270
calm16_ceb.cnf,5,7,14374.990822553635,2688.3876206874847,352753001067135
calm16_ceb.cnf,5,8,14374.990822553635,2566.248389005661,345242238368597
calm16_ceb.cnf,5,9,14374.990822553635,2595.627306699753,354924987631171
