Benchmark,twise, ApproxMaxCov Time, Strategy 3 Mean Time, Strategy 3 Max Coverage, Strategy 3 Mean Coverage
edosk2674.cnf,5,14015.56442284584,1733.745061469078,0.908112982108667,0.8713732624325490251132310737
embtoolkit.cnf,5,-1,-1,-1,-1
excalibur_arm9.cnf,5,15665.851643323898,1478.726696062088,0.9090510857475529,0.8777417205282618604740915125
fads.cnf,5,14026.547742843628,1484.3682754278184,0.8989357084221863,0.8619024513940087051020768486
financial.cnf,5,7437.102746725082,769.4158655166626,0.8084263031663009,0.7878449260719132003239503335
flexanet.cnf,5,15889.991460323334,3186.3936331748964,0.8940615938603171,0.8568643369367190645987006883
freebsd-icse11.cnf,5,-1,-1,-1,-1
frv400.cnf,5,14836.620750665665,3860.058162307739,0.8853843906974461,0.8354026698330001924639353867
gps4020.cnf,5,14521.667174100876,1650.137876701355,0.8939982108912711,0.8636838411951070270751342156
grg.cnf,5,14958.763731956482,4245.956767416001,0.8841158811457418,0.8537328274234576611201536504
h8300h_sim.cnf,5,14014.667296886444,1188.5825743198395,0.8770915776534067,0.8328938061135706033296439762
h8max.cnf,5,14365.536086559296,1646.509159564972,0.9010104625768347,0.8721439662402502397501257501
h8s_sim.cnf,5,14106.607820034027,1399.1017970561982,0.9022791919936773,0.8694177765652733558415648795
hs7729pci.cnf,5,17604.0588657856,4612.922394371033,0.8659134390801284,0.8414790834095949136256758518
innovator.cnf,5,15871.974278450012,2295.847395992279,0.8713391282200655,0.8240314463560724406415595320
integrator_arm7.cnf,5,15284.028495311737,2094.543338370323,0.9005593526329695,0.8523235774418608635399418052
integrator_arm9.cnf,5,16963.96520137787,1395.0682199716568,0.8800257926740673,0.8527656355364208858989670797
ipaq.cnf,5,15552.382700920105,2685.6627101898193,0.8913163187488147,0.8657745132822023854416875504
iq80310.cnf,5,15681.539036750793,4207.713528227806,0.8962736175829856,0.8522368166514258200570744814
iq80321.cnf,5,14719.720077991486,3129.8102737665176,0.8903479430747007,0.8506568294051106900152822545
ixdp425.cnf,5,15917.552062749863,3869.812092113495,0.884444355192941,0.8478915400408113539996632402
jmr3904.cnf,5,14335.323416471481,2362.7504506111145,0.9098262837228297,0.8857694935314608423508440069
jtst.cnf,5,16745.246158123016,2210.222734618187,0.8917100813961119,0.8346010443354387746924669089
linux.cnf,5,14799.228969573975,1945.4828416109085,0.8869111324800089,0.8602161442288292752114785906
