Benchmark,twise,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Mean Time, Strategy 3 Mean Time, Strategy 1 Max Coverage, Strategy 3 Max Coverage, Strategy 1 Mean Coverage, Strategy 3 Mean Coverage
mb93093.cnf,2,13370.2807998657,2080.81354761124,1396.43085503578,1425.29887769222,0.927302851669519,0.927949741877777,0.924436110348131,0.925271186798791
mbx.cnf,2,15103.0623066425,2290.68007874489,1684.87449102402,1696.55355715752,0.923024167915433,0.92542516219162,0.919846887050174,0.921679052823777
mcb2100.cnf,2,14300.6678273678,2148.39231681824,1761.30570313931,1740.05901699066,0.926718909554659,0.941097419216107,0.924523766404967,0.92707522124047
moab.cnf,2,15163.7542304993,2284.77541947365,1585.98935639858,1577.96571950912,0.92051773998943,0.923951876363251,0.917805477764343,0.919326995499759
mpc50.cnf,2,13212.1795063019,2084.26045560837,873.564732003212,892.795051121712,0.928185626021234,0.936469481731396,0.924666917670314,0.926003769466877
nano.cnf,2,15136.6649444103,2486.5039832592,1496.46515767574,1440.94262049198,0.930358549516886,0.928706505796575,0.926455011895511,0.926260499744054
npwr.cnf,2,14784.7144393921,2180.85268163681,2119.57341272831,2173.66223697662,0.926171599795465,0.92773229183624,0.924368276038159,0.925130282829415
ocelot.cnf,2,14005.4805026054,2716.2965066433,2367.98381378651,2494.56766912937,0.916598043821951,0.917130505748412,0.914732417789051,0.915112173653583
olpce2294.cnf,2,15962.1949706078,2430.7692296505,2254.6841196537,2249.97854015827,0.92883640164265,0.936095662121125,0.925299273316819,0.926143740072915
olpch2294.cnf,2,14938.4623010159,2082.0670170784,859.383884882927,882.848217725754,0.927737469358491,0.938603938747196,0.925299727506561,0.926787595319237
olpcl2294.cnf,2,15649.4290232658,2135.81139945984,1721.8370660305,1767.97937617302,0.927927776442478,0.934773412831472,0.925926969987409,0.92579996815063
p2106.cnf,2,14477.1142632961,2210.46019482613,1796.455920434,1768.26015086174,0.926718909554659,0.930558696030812,0.924523766404967,0.925754340232991
pati.cnf,2,13775.8410027027,2142.68189573288,2708.7214359045,2737.18690340519,0.925379359649942,0.940807450654204,0.921622250480609,0.927034474580723
pc_i82544.cnf,2,14204.24395895,2121.0288131237,1815.55869150162,1723.36547482014,0.924895346056602,0.938942350320679,0.922747186165796,0.926426027529764
pc_i82559.cnf,2,14381.472386837,2124.80546212196,1835.89456996918,1779.68865540028,0.926158850982995,0.926927634283503,0.923989363988833,0.923581159871997
pc_rltk8139.cnf,2,14419.141051054,2099.93377900124,2607.64000971317,2591.12132778168,0.924801946655787,0.925733373677379,0.922607722103811,0.923715326278018
pc_usb_d12.cnf,2,14837.696010828,2373.5311589241,2570.60672609806,2622.29583237171,0.929661802215361,0.938280623287155,0.924130865418302,0.926196429097648
pc_vmWare.cnf,2,14256.7251694202,2116.97204899788,3859.32171039581,3879.33958337307,0.933489472754054,0.935144244237107,0.923927515805146,0.925030336350805
phycore.cnf,2,15289.0088307858,2133.65042042732,1105.31017825603,1103.22933962345,0.922171507975028,0.921677847440611,0.918047929950069,0.918677189226565
phycore229x.cnf,2,17813.8723709583,2454.40682411194,4216.52788636685,4150.71187171936,0.921315153046115,0.935320483780389,0.918776388610946,0.921478976048081
picasso.cnf,2,14757.2661325932,2206.19717884064,2495.26885066032,2407.82738182545,0.926216513344816,0.926897392513168,0.923584969012556,0.924123060861667
pid.cnf,2,14031.6643958092,2303.98609042168,2619.55436954498,2580.47694272995,0.925785304914312,0.926764178603378,0.92376051778078,0.924617830351039
prpmc1100.cnf,2,13925.7030024529,2267.73190355301,1147.06668491364,1139.54689025879,0.923729543403483,0.921297150677357,0.919359921028654,0.919679837483454
psim.cnf,2,11945.1732053757,2205.33409333229,1624.89631788731,1590.80870211124,0.921279900973824,0.935793887880946,0.920097366993384,0.924895259291614
rattler.cnf,2,15838.6351315975,2549.05884647369,4103.53084230423,4009.08412928581,0.927933083407478,0.931245819318716,0.917535876247858,0.922501952131563
ref4955.cnf,2,13357.7877135277,2696.16103005409,4881.39590377808,4836.10162649155,0.924734014728362,0.925834355329005,0.920976073676685,0.921912725444495
refidt334.cnf,2,14492.5083274841,2163.2547082901,2221.54171216488,2277.04286170006,0.917949259230828,0.918866783312113,0.916403530598253,0.916531514123187
sa1100mm.cnf,2,13822.1393442154,2118.54284739494,739.414876389504,741.847016334534,0.93106681346406,0.923805559389726,0.920677746029641,0.920096316769356
