Benchmark, twise, seed, Strategy 1 Coverage, Strategy 3 Coverage
at91sam7sek.cnf,2,12,0.9273188644050693,0.9228141164827939
at91sam7sek.cnf,2,13,0.9190499597964757,0.924171921337817
at91sam7sek.cnf,2,14,0.9234928561430008,0.9247272833811326
at91sam7sek.cnf,2,15,0.9194200926471497,0.9233079524849684
at91sam7sek.cnf,2,16,0.9169515637054954,0.9194200926471497
at91sam7sek.cnf,2,17,0.9152239515344074,0.9180626133267358
at91sam7sek.cnf,2,18,0.916149446428397,0.9176306289003116
at91sam7sek.cnf,2,19,0.916519579279071,0.921518163203521
at91sam7sek.cnf,2,20,0.9163346756210387,0.9246654318053824
at91sam7sek.cnf,2,21,0.9222587544394782,0.9210861787770966
at91sam7sek.cnf,2,22,0.9210861787770966,0.925159267807557
at91sam7sek.cnf,2,23,0.916519579279071,0.9179389101752353
at91sam7sek.cnf,2,24,0.9223821320563695,0.9184327461774099
at91sam7sek.cnf,2,25,0.9199754546904654,0.9242952989547084
at91sam7sek.cnf,2,26,0.9174453997076699,0.9235547077187511
at91sam7sek.cnf,2,27,0.9154088551924398,0.9263315179353293
at91sam7sek.cnf,2,28,0.9229374940996852,0.9231842493334679
at91sam7sek.cnf,2,29,0.9154707067681901,0.9200988323073568
at91sam7sek.cnf,2,30,0.9192348634545081,0.9221353768225868
at91sam7sek.cnf,2,31,0.9230608717165766,0.9274425675565697
at91sam7sek.cnf,2,32,0.9202222099242481,0.9263315179353293
at91sam7sek.cnf,2,33,0.9191733374133672,0.9190499597964757
at91sam7sek.cnf,2,34,0.9160260688115057,0.9200988323073568
at91sam7sek.cnf,2,35,0.9165814308548214,0.9191114858376168
at91sam7sek.cnf,2,36,0.9392907251934489,0.9370692770201864
at91sam7sek.cnf,2,37,0.9197902254978239,0.9254675490824807
at91sam7sek.cnf,2,38,0.9155322328093312,0.9194200926471497
at91sam7sek.cnf,2,39,0.9191114858376168,0.9250974162318066
at91sam7sek.cnf,2,40,0.9189881082207255,0.9225673612490112
at91sam7sek.cnf,2,41,0.9231227232923268,0.925899533508905
at91sam7sek.cnf,2,42,0.9151002483829068,0.9148534931491241
at91sam7sek.cnf,2,43,0.9240482181863164,0.9262081403184379
at91sam7sek.cnf,2,44,0.9205926683095313,0.9189262566449752
at91sam7sek.cnf,2,45,0.9215800147792712,0.9182475169847683
at91sam7sek.cnf,2,46,0.9181241393678768,0.9167048084717127
at91sam7sek.cnf,2,47,0.9239866921451754,0.9184945977531601
at91sam7sek.cnf,2,48,0.9177540065172028,0.9275040935977108
at91sam7sek.cnf,2,49,0.9402780716631889,0.9428699782217347
at91sam7sek.cnf,2,50,0.9202222099242481,0.9207160459264226
h8s_sim.cnf,2,1,0.920988055515257,0.9353937811306156
h8s_sim.cnf,2,2,0.92042748682238,0.9167580637361574
h8s_sim.cnf,2,3,0.922321195415639,0.9233568354369167
h8s_sim.cnf,2,4,0.919135741573577,0.9360046423908313
h8s_sim.cnf,2,5,0.921595821848252,0.9225014749262537
h8s_sim.cnf,2,6,0.91710276125538,0.9169410513080903
h8s_sim.cnf,2,7,0.920678949659074,0.9219513516127472
h8s_sim.cnf,2,8,0.920931186227574,0.9192630204555347
h8s_sim.cnf,2,9,0.92055515257024,0.9148024565984816
h8s_sim.cnf,2,10,0.920429421151893,0.934904782629721
h8s_sim.cnf,2,11,0.9182854103196479,0.9177964118187534
h8s_sim.cnf,2,12,0.9226848493640891,0.9234179602495285
h8s_sim.cnf,2,13,0.9185299095700953,0.9250064316456308
h8s_sim.cnf,2,14,0.9346602833792736,0.9183465351322598
h8s_sim.cnf,2,15,0.9355160307558392,0.9413816915711591
h8s_sim.cnf,2,16,0.9218902268001354,0.912969485951932
h8s_sim.cnf,2,17,0.9278781372406789,0.9303223560133469
h8s_sim.cnf,2,18,0.9209737414768606,0.9165135644857101
h8s_sim.cnf,2,19,0.9221347260505827,0.9138248464625949
