Benchmark, twise, seed, approx combinations, approx coverage
aki3068net.cnf,4,4,1117642417478,0.9984514280528330402694446006
aki3068net.cnf,4,5,1117618612598,0.9984301618445548508092939711
aki3068net.cnf,4,6,1117035116248,0.9979088924700121799533029826
aki3068net.cnf,4,7,1117399386265,0.9982343149065471095718639932
aki3068net.cnf,4,8,1116817550720,0.9977145292204346874063249400
aki3068net.cnf,4,9,1117442013608,0.9982723962560260324455279526
aki3068net.cnf,4,10,1116776030582,0.9976774369980648553056968488
am31_sim.cnf,4,1,954846687722,0.9958233769006885312839691743
am31_sim.cnf,4,2,953575094773,0.9944972142812869983984935457
am31_sim.cnf,4,3,953921456131,0.9948584395351278421459646535
am31_sim.cnf,4,4,954275023344,0.9952271798790368894980709337
am31_sim.cnf,4,5,954012249886,0.9949531296512147480536414955
am31_sim.cnf,4,6,953391585703,0.9943058300264855515115872476
am31_sim.cnf,4,7,954082867250,0.9950267775182394271201275765
am31_sim.cnf,4,8,954233229393,0.9951835923649846239292875249
am31_sim.cnf,4,9,954554130069,0.9955182643064943299715356090
am31_sim.cnf,4,10,954177504126,0.9951254756806245175881722206
asb.cnf,4,1,1191001470178,0.9941353847878064218188197576
asb.cnf,4,2,1191407008131,0.9944738895160092010429667807
asb.cnf,4,3,1191189563113,0.9942923869804940147835818903
asb.cnf,4,4,1191668181760,0.9946918925602233599526663679
asb.cnf,4,5,1191169795385,0.9942758867507514573254714545
asb.cnf,4,6,1190407839291,0.9936398778677507550519276114
asb.cnf,4,7,1191428572926,0.9944918897673203863425557185
asb.cnf,4,8,1191830516746,0.9948273944532206153057627472
asb.cnf,4,9,1190925993395,0.9940723839077999205592499702
asb.cnf,4,10,1191539991034,0.9945848910661788631014404023
asb2305.cnf,4,1,1218972212145,0.9989057096344977289477582026
asb2305.cnf,4,2,1218468164234,0.9984926597460665159481399341
asb2305.cnf,4,3,1219087050647,0.9989998158283803728357894904
asb2305.cnf,4,4,1218484924448,0.9985063941637115545646241201
asb2305.cnf,4,5,1218772951826,0.9987424226716206664300625722
asb2305.cnf,4,6,1218899584552,0.9988461938255220271394581088
asb2305.cnf,4,7,1219131744551,0.9990364409421004758130806530
asb2305.cnf,4,8,1218655009580,0.9986457730665167050376318123
asb2305.cnf,4,9,1220317995239,1.000008532490615691584844291
asb2305.cnf,4,10,1218936829472,0.9988767147536221129538674109
assabet.cnf,4,1,1305559281875,0.9974543328211322683501771672
assabet.cnf,4,2,1305433954575,0.9973585820879857495145977668
assabet.cnf,4,3,1306536432696,0.9982008813185903065707274790
assabet.cnf,4,4,1305911136595,0.9977231517249230873007770441
assabet.cnf,4,5,1306247576726,0.9979801937995800921132664293
assabet.cnf,4,6,1304746329924,0.9968332331459526159022067589
assabet.cnf,4,7,1305704044960,0.9975649325988447206542568191
assabet.cnf,4,8,1304782520695,0.9968608830901897276298641865
assabet.cnf,4,9,1306258299918,0.9979883863761030913768389657
assabet.cnf,4,10,1306081367259,0.9978532088703496520689415873
at91sam7sek.cnf,4,1,1427872632842,1.000233182881830239842914468
at91sam7sek.cnf,4,2,1428981935988,1.001010256264276099231916516
at91sam7sek.cnf,4,3,1428083893627,1.000381172305073178590083759
at91sam7sek.cnf,4,4,1427693024369,1.000107366089429251006242251
at91sam7sek.cnf,4,5,1428811160720,1.000890627183964396832176688
at91sam7sek.cnf,4,6,1428335639928,1.000557522070546847799300430
at91sam7sek.cnf,4,7,1426658803453,0.9993828882509860027638894806
at91sam7sek.cnf,4,8,1427643705650,1.000072818036510245878026646
at91sam7sek.cnf,4,9,1427933729166,1.000275981216367450411403121
at91sam7sek.cnf,4,10,1427876313343,1.000235761094441894482472374
at91sam7xek.cnf,4,1,1567761473615,0.9959697489700398292255271506
at91sam7xek.cnf,4,2,1567839666364,0.9960194233713460651621486773
at91sam7xek.cnf,4,3,1568965168066,0.9967344337007053714819852197
at91sam7xek.cnf,4,4,1567701446857,0.9959316150854515752883432344
at91sam7xek.cnf,4,5,1566650188777,0.9952637703503554465826016331
at91sam7xek.cnf,4,6,1567101179283,0.9955502762433807244892822932
at91sam7xek.cnf,4,7,1567947082667,0.9960876629537919289743753930
at91sam7xek.cnf,4,8,1569818969707,0.9972768380271085368985206011
at91sam7xek.cnf,4,9,1567190429594,0.9956069753084733248732750282
at91sam7xek.cnf,4,10,1566662036163,0.9952712967746610286941632405
atlas_mips32_4kc.cnf,4,1,1150743643225,0.9976388480620922974605795559
atlas_mips32_4kc.cnf,4,2,1151197047793,0.9980319278010843186870075143
atlas_mips32_4kc.cnf,4,3,1150362099005,0.9973080677546219185448980121
atlas_mips32_4kc.cnf,4,4,1151039069094,0.9978949679419387904383122491
atlas_mips32_4kc.cnf,4,5,1150056407372,0.9970430479559866195227729739
atlas_mips32_4kc.cnf,4,6,1149810599361,0.9968299443491300871851057515
atlas_mips32_4kc.cnf,4,7,1150750487068,0.9976447813415738186337988349
atlas_mips32_4kc.cnf,4,8,1150177315256,0.9971478692190242640384552449
atlas_mips32_4kc.cnf,4,9,1151156555058,0.9979968225665361015136946016
atlas_mips32_4kc.cnf,4,10,1151308830554,0.9981288380256802197359372273
atlas_mips64_5kc.cnf,4,1,1123506313901,0.9986607424089957523732787241
atlas_mips64_5kc.cnf,4,2,1122654225370,0.9979033391310274956534114211
atlas_mips64_5kc.cnf,4,3,1122854290630,0.9980811728633437114579954627
atlas_mips64_5kc.cnf,4,4,1122833113806,0.9980623492372402909319146497
atlas_mips64_5kc.cnf,4,5,1123105068811,0.9983040842269192843299525303
atlas_mips64_5kc.cnf,4,6,1123489595355,0.9986458816508907203428559245
