Benchmark, twise, seed, approx combinations, approx coverage, combinations, coverage
ipaq.cnf,2,3,2277787,0.7854524601650776,2286628,0.7891863535177484
ipaq.cnf,2,4,2278323,0.7856372897907838,2282159,0.7876439627948714
ipaq.cnf,2,5,2274751,0.7844055520612642,2283162,0.7879901292515833
ipaq.cnf,2,6,2285289,0.7880393852621822,2283074,0.7879597577179934
ipaq.cnf,2,7,2295112,0.7914266640183616,2275655,0.7853992303577283
ipaq.cnf,2,8,2286361,0.7884090445135946,2281001,0.7872443010233136
ipaq.cnf,2,9,2274930,0.7844672768802966,2271290,0.7838927332654576
ipaq.cnf,2,10,2286361,0.7884090445135946,2287722,0.7895639269012408
iq80310.cnf,2,1,2328869,0.7869502189662629,2333377,0.7881672414550196
iq80310.cnf,2,2,2294755,0.7754227265354672,2303607,0.7781115415924958
iq80310.cnf,2,3,2308687,0.7801305011894464,2309077,0.7799591962195703
iq80310.cnf,2,4,2323690,0.785200178416955,2311062,0.7806296888036183
iq80310.cnf,2,5,2340836,0.7909939987024222,2340257,0.7904911653735336
iq80310.cnf,2,6,2291183,0.7742157088019032,2290662,0.7737389841615128
iq80310.cnf,2,7,2326726,0.7862260759083045,2337837,0.7896737386463819
iq80310.cnf,2,8,2297970,0.7765091100778547,2311320,0.7807168359505626
iq80310.cnf,2,9,2334049,0.7887005974264706,2331709,0.7876038250166356
iq80310.cnf,2,10,2299578,0.7770524708044982,2324517,0.7851745138506541
iq80321.cnf,2,1,2283545,0.7735082948534513,2267814,0.7685540712644972
iq80321.cnf,2,2,2305444,0.7809261728234478,2318041,0.7855758223152455
iq80321.cnf,2,3,2313455,0.7836397497181755,2321198,0.7866457183485983
iq80321.cnf,2,4,2293159,0.7767648581122095,2302450,0.7802920880561375
iq80321.cnf,2,5,2286927,0.7746538843002081,2288310,0.7755000925187258
iq80321.cnf,2,6,2339093,0.7923241442291016,2341121,0.7933975519477394
iq80321.cnf,2,7,2294583,0.7772472115634755,2296507,0.7782780265654134
iq80321.cnf,2,8,2259331,0.7653062537937911,2254305,0.7639759193751834
iq80321.cnf,2,9,2290488,0.7758601066597295,2297434,0.7785921835571519
iq80321.cnf,2,10,2312387,0.783277984629726,2297316,0.7785521937782682
ixdp425.cnf,2,1,2296728,0.7897529709507042,2287389,0.7879782614237417
ixdp425.cnf,2,2,2273913,0.7819078042473592,2263610,0.7797866791968467
ixdp425.cnf,2,3,2293569,0.7886667170994718,2281007,0.7857797384508647
ixdp425.cnf,2,4,2288128,0.7867957746478873,2291565,0.7894168436761289
ixdp425.cnf,2,5,2299009,0.7905373156910211,2313655,0.797026585523646
ixdp425.cnf,2,6,2260575,0.7773213990977113,2281740,0.7860322482188243
ixdp425.cnf,2,7,2305327,0.792709823393486,2304770,0.7939658088683635
ixdp425.cnf,2,8,2268824,0.780157900528169,2282209,0.7861938131317481
ixdp425.cnf,2,9,2287075,0.7864336900308099,2285946,0.7874811651138292
ixdp425.cnf,2,10,2289181,0.7871578592649648,2287380,0.7879751610309564
jmr3904.cnf,2,1,2097129,0.7858701224338066,2090501,0.7846380663944988
jmr3904.cnf,2,2,2096642,0.7856876259113584,2097750,0.787358869371055
jmr3904.cnf,2,3,2082689,0.780458931911934,2087661,0.7835721151662715
jmr3904.cnf,2,4,2079769,0.7793647022496163,2072158,0.7777532975989448
jmr3904.cnf,2,5,2091126,0.7836205811108979,2089089,0.7841080934599013
jmr3904.cnf,2,6,2097940,0.7861740334804298,2106057,0.7904767767136198
jmr3904.cnf,2,7,2095019,0.7850794290819263,2073858,0.7783913669961232
jmr3904.cnf,2,8,2101185,0.7873900524031082,2094162,0.7860121676080692
jmr3904.cnf,2,9,2098751,0.786477944527053,2100142,0.7882566705463788
jmr3904.cnf,2,10,2099075,0.7865993590512279,2082051,0.7814664861555831
jtst.cnf,2,1,2227046,0.7806351792444365,2245490,0.7878942690655999
jtst.cnf,2,2,2195412,0.769546673097631,2215634,0.777418439158888
jtst.cnf,2,3,2244253,0.7866666619930007,2242899,0.7869851427496738
jtst.cnf,2,4,2250337,0.7887992557654343,2231136,0.7828577583983658
jtst.cnf,2,5,2259896,0.7921499237257718,2242501,0.7868454930878681
jtst.cnf,2,6,2242515,0.7860574496365758,2251642,0.7900528738882852
jtst.cnf,2,7,2243037,0.7862404236584709,2247342,0.7885440961351079
jtst.cnf,2,8,2205320,0.7730196742641781,2202421,0.7727822809140666
jtst.cnf,2,9,2226351,0.7803915644068558,2236686,0.7848051343356062
jtst.cnf,2,10,2210534,0.774847311333453,2211326,0.7759068543773326
linux.cnf,2,1,2214719,0.7919485622253754,2226729,0.7958868337791605
linux.cnf,2,2,2231677,0.7980124753982057,2229310,0.7968093456420697
linux.cnf,2,3,2232705,0.7983800719745514,2233040,0.798142537911985
linux.cnf,2,4,2237502,0.8000954034694251,2229943,0.7970355951613342
linux.cnf,2,5,2224825,0.7955623083348591,2233111,0.7981679150302595
linux.cnf,2,6,2246923,0.8034642043894178,2230327,0.7971728460545372
linux.cnf,2,7,2209409,0.7900497900265471,2213194,0.791049097217953
linux.cnf,2,8,2214376,0.7918259108385207,2216878,0.7923658479746201
